PING luisouti.com (177.55.120.3) 56(84) bytes of data.
64 bytes from 177.55.120.3: icmp_seq=1 ttl=50 time=19.3 ms
64 bytes from 177.55.120.3: icmp_seq=2 ttl=50 time=15.8 ms
64 bytes from 177.55.120.3: icmp_seq=3 ttl=50 time=14.6 ms
64 bytes from 177.55.120.3: icmp_seq=4 ttl=50 time=16.9 ms
64 bytes from 177.55.120.3: icmp_seq=5 ttl=50 time=15.1 ms
64 bytes from 177.55.120.3: icmp_seq=6 ttl=50 time=18.6 ms
64 bytes from 177.55.120.3: icmp_seq=7 ttl=50 time=35.1 ms
64 bytes from 177.55.120.3: icmp_seq=8 ttl=50 time=16.7 ms
64 bytes from 177.55.120.3: icmp_seq=9 ttl=50 time=14.5 ms
64 bytes from 177.55.120.3: icmp_seq=10 ttl=50 time=31.9 ms
64 bytes from 177.55.120.3: icmp_seq=11 ttl=50 time=79.2 ms
64 bytes from 177.55.120.3: icmp_seq=12 ttl=50 time=168 ms
64 bytes from 177.55.120.3: icmp_seq=13 ttl=50 time=15.9 ms
64 bytes from 177.55.120.3: icmp_seq=14 ttl=50 time=21.0 ms
64 bytes from 177.55.120.3: icmp_seq=15 ttl=50 time=131 ms
64 bytes from 177.55.120.3: icmp_seq=16 ttl=50 time=18.4 ms
64 bytes from 177.55.120.3: icmp_seq=17 ttl=50 time=19.8 ms
64 bytes from 177.55.120.3: icmp_seq=18 ttl=50 time=54.5 ms
64 bytes from 177.55.120.3: icmp_seq=19 ttl=50 time=21.3 ms
64 bytes from 177.55.120.3: icmp_seq=20 ttl=50 time=29.9 ms
64 bytes from 177.55.120.3: icmp_seq=21 ttl=50 time=52.2 ms
64 bytes from 177.55.120.3: icmp_seq=22 ttl=50 time=16.4 ms
64 bytes from 177.55.120.3: icmp_seq=23 ttl=50 time=21.0 ms
64 bytes from 177.55.120.3: icmp_seq=24 ttl=50 time=62.8 ms
64 bytes from 177.55.120.3: icmp_seq=25 ttl=50 time=23.3 ms
64 bytes from 177.55.120.3: icmp_seq=26 ttl=50 time=15.7 ms
64 bytes from 177.55.120.3: icmp_seq=27 ttl=50 time=59.3 ms
64 bytes from 177.55.120.3: icmp_seq=28 ttl=50 time=15.1 ms
64 bytes from 177.55.120.3: icmp_seq=29 ttl=50 time=38.3 ms
64 bytes from 177.55.120.3: icmp_seq=30 ttl=50 time=18.4 ms
64 bytes from 177.55.120.3: icmp_seq=31 ttl=50 time=81.3 ms
64 bytes from 177.55.120.3: icmp_seq=32 ttl=50 time=57.5 ms
64 bytes from 177.55.120.3: icmp_seq=33 ttl=50 time=16.6 ms
64 bytes from 177.55.120.3: icmp_seq=34 ttl=50 time=26.1 ms
64 bytes from 177.55.120.3: icmp_seq=35 ttl=50 time=31.1 ms
64 bytes from 177.55.120.3: icmp_seq=36 ttl=50 time=16.1 ms
64 bytes from 177.55.120.3: icmp_seq=37 ttl=50 time=24.5 ms
64 bytes from 177.55.120.3: icmp_seq=38 ttl=50 time=23.3 ms
64 bytes from 177.55.120.3: icmp_seq=39 ttl=50 time=18.1 ms
64 bytes from 177.55.120.3: icmp_seq=40 ttl=50 time=26.0 ms
64 bytes from 177.55.120.3: icmp_seq=41 ttl=50 time=39.9 ms
64 bytes from 177.55.120.3: icmp_seq=42 ttl=50 time=21.7 ms
64 bytes from 177.55.120.3: icmp_seq=43 ttl=50 time=17.2 ms
64 bytes from 177.55.120.3: icmp_seq=44 ttl=50 time=57.8 ms
64 bytes from 177.55.120.3: icmp_seq=45 ttl=50 time=18.3 ms
64 bytes from 177.55.120.3: icmp_seq=46 ttl=50 time=39.3 ms
64 bytes from 177.55.120.3: icmp_seq=47 ttl=50 time=183 ms
64 bytes from 177.55.120.3: icmp_seq=48 ttl=50 time=47.8 ms
64 bytes from 177.55.120.3: icmp_seq=49 ttl=50 time=177 ms
64 bytes from 177.55.120.3: icmp_seq=50 ttl=50 time=231 ms
64 bytes from 177.55.120.3: icmp_seq=51 ttl=50 time=109 ms
64 bytes from 177.55.120.3: icmp_seq=52 ttl=50 time=71.3 ms
64 bytes from 177.55.120.3: icmp_seq=53 ttl=50 time=416 ms
64 bytes from 177.55.120.3: icmp_seq=54 ttl=50 time=42.6 ms
64 bytes from 177.55.120.3: icmp_seq=55 ttl=50 time=87.2 ms
64 bytes from 177.55.120.3: icmp_seq=56 ttl=50 time=14.3 ms
64 bytes from 177.55.120.3: icmp_seq=57 ttl=50 time=18.5 ms
64 bytes from 177.55.120.3: icmp_seq=58 ttl=50 time=102 ms
64 bytes from 177.55.120.3: icmp_seq=59 ttl=50 time=82.3 ms
64 bytes from 177.55.120.3: icmp_seq=60 ttl=50 time=16.1 ms
64 bytes from 177.55.120.3: icmp_seq=61 ttl=50 time=78.2 ms
64 bytes from 177.55.120.3: icmp_seq=62 ttl=50 time=15.3 ms
64 bytes from 177.55.120.3: icmp_seq=63 ttl=50 time=15.4 ms
64 bytes from 177.55.120.3: icmp_seq=64 ttl=50 time=33.1 ms
64 bytes from 177.55.120.3: icmp_seq=65 ttl=50 time=56.9 ms
64 bytes from 177.55.120.3: icmp_seq=66 ttl=50 time=14.3 ms
64 bytes from 177.55.120.3: icmp_seq=67 ttl=50 time=159 ms
64 bytes from 177.55.120.3: icmp_seq=68 ttl=50 time=16.9 ms
64 bytes from 177.55.120.3: icmp_seq=69 ttl=50 time=36.1 ms
64 bytes from 177.55.120.3: icmp_seq=70 ttl=50 time=56.4 ms
64 bytes from 177.55.120.3: icmp_seq=71 ttl=50 time=16.7 ms
64 bytes from 177.55.120.3: icmp_seq=72 ttl=50 time=47.2 ms
64 bytes from 177.55.120.3: icmp_seq=73 ttl=50 time=27.6 ms
64 bytes from 177.55.120.3: icmp_seq=74 ttl=50 time=15.0 ms
64 bytes from 177.55.120.3: icmp_seq=75 ttl=50 time=22.7 ms
64 bytes from 177.55.120.3: icmp_seq=76 ttl=50 time=14.5 ms
64 bytes from 177.55.120.3: icmp_seq=77 ttl=50 time=15.2 ms
64 bytes from 177.55.120.3: icmp_seq=78 ttl=50 time=25.4 ms
64 bytes from 177.55.120.3: icmp_seq=79 ttl=50 time=38.6 ms
64 bytes from 177.55.120.3: icmp_seq=80 ttl=50 time=25.4 ms
64 bytes from 177.55.120.3: icmp_seq=81 ttl=50 time=27.6 ms
64 bytes from 177.55.120.3: icmp_seq=82 ttl=50 time=16.0 ms
64 bytes from 177.55.120.3: icmp_seq=83 ttl=50 time=26.0 ms
64 bytes from 177.55.120.3: icmp_seq=84 ttl=50 time=40.1 ms
64 bytes from 177.55.120.3: icmp_seq=85 ttl=50 time=18.1 ms
64 bytes from 177.55.120.3: icmp_seq=86 ttl=50 time=173 ms
64 bytes from 177.55.120.3: icmp_seq=87 ttl=50 time=49.0 ms
64 bytes from 177.55.120.3: icmp_seq=88 ttl=50 time=19.0 ms
64 bytes from 177.55.120.3: icmp_seq=89 ttl=50 time=48.6 ms
64 bytes from 177.55.120.3: icmp_seq=90 ttl=50 time=17.2 ms
64 bytes from 177.55.120.3: icmp_seq=91 ttl=50 time=22.3 ms
64 bytes from 177.55.120.3: icmp_seq=92 ttl=50 time=72.7 ms
64 bytes from 177.55.120.3: icmp_seq=93 ttl=50 time=21.6 ms
64 bytes from 177.55.120.3: icmp_seq=94 ttl=50 time=15.8 ms
64 bytes from 177.55.120.3: icmp_seq=95 ttl=50 time=61.3 ms
